book_id,search_key,book_title,book_subtitle,book_authors,book_publisher,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year
OoUYAoSNMFMC,history,The Book History Reader,,"David Finkelstein, Alistair McCleery",Psychology Press,"The editors illustrate how book history studies have evolved into a broad approach which incorporates social and cultural considerations governing the production, dissemination and reception of print and texts.","0415226589, 9780415226585",False,True,404,History,en,http://books.google.com/books/content?id=OoUYAoSNMFMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,IN,NOT_FOR_SALE,False,,,,,,2002
QswNAQAAMAAJ,history,Glimpses of World History,"Being Further Letters to His Daughter, Written in Prison, and Containing a Rambling Account of History for Young People",Jawaharlal Nehru,,,UOM:49015000106071,False,False,1016,Civilization,en,http://books.google.com/books/content?id=QswNAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,1949
IzkmmQEACAAJ,history,A History of Books,,Gerald Murnane,ReadHowYouWant,"This new work by Gerald Murnane is a fictionalised autobiography told in thirty sections, each of which begins with the memory of a book that has left an image on the writer's mind. The titles aren't given but the reader follows the clues, recalling in the process a parade of authors, the great, the popular, and the now - forgotten. The images themselves, with their scenes of marital discord, violence and madness, or their illuminated landscapes that point to the consolations of a world beyond fiction, give new intensity to Murnane's habitual concern with the anxieties and aspirations of the writing life, in the absence of religious belief. A History of Books is accompanied by three shorter pieces of fiction which play on these themes, featuring the writer at different ages, as a young boy, a teacher, and an old recluse.","1459649184, 9781459649187",False,False,256,Fiction,en,http://books.google.com/books/content?id=IzkmmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2012
4HQjTGWNfhwC,history,End of History and the Last Man,,Francis Fukuyama,Simon and Schuster,"Ever since its first publication in 1992, the New York Times bestselling The End of History and the Last Man has provoked controversy and debate. ""Profoundly realistic and important...supremely timely and cogent...the first book to fully fathom the depth and range of the changes now sweeping through the world."" —The Washington Post Book World Francis Fukuyama's prescient analysis of religious fundamentalism, politics, scientific progress, ethical codes, and war is as essential for a world fighting fundamentalist terrorists as it was for the end of the Cold War. Now updated with a new afterword, The End of History and the Last Man is a modern classic.","9781416531784, 1416531785",True,False,464,History,en,http://books.google.com/books/content?id=4HQjTGWNfhwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,IN,NOT_FOR_SALE,False,,,,,,2006
N_IkEAAAQBAJ,history,The Television History Book,,"Michele Hilmes, Jason Jacobs",Bloomsbury Publishing,"Traces the history of broadcasting and the infludence developments in broadcasting have had over our social, cultural and economic practices. Examining the broadcasting traditions of the UK and USA, 'The Television History Book' make connections between events and tendencies that both unite and differentiate these national broadcasting traditions.","9781839024672, 1839024674",False,True,177,Performing Arts,en,http://books.google.com/books/content?id=N_IkEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,3519,INR,3519,INR,https://play.google.com/store/books/details?id=N_IkEAAAQBAJ&rdid=book-N_IkEAAAQBAJ&rdot=1&source=gbs_api,2021
bMg-DAAAQBAJ,history,History of India,,Dr Malti Malik,New Saraswati House India Pvt Ltd,History Book,"9788173354984, 8173354987",False,True,513,History,en,http://books.google.com/books/content?id=bMg-DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,IN,FOR_SALE,True,725.7,INR,362.85,INR,https://play.google.com/store/books/details?id=bMg-DAAAQBAJ&rdid=book-bMg-DAAAQBAJ&rdot=1&source=gbs_api,
odDYAQAAQBAJ,history,The Book,A Global History,"F. J. F. Suarez, H. R. Woudhuysen",OUP Oxford,"A concise edition of the highly acclaimed Oxford Companion to the Book, this book features the 51 articles from the Companion plus 3 brand new chapters in one affordable volume. The 54 chapters introduce readers to the fascinating world of book history. Including 21 thematic studies on topics such as writing systems, the ancient and the medieval book, and the economics of print, as well as 33 regional and national histories of 'the book', offering a truly global survey of the book around the world, the Oxford History of the Book is the most comprehensive work of its kind. The three new articles, specially commissioned for this spin-off, cover censorship, copyright and intellectual property, and book history in the Caribbean and Bermuda. All essays are illustrated throughout with reproductions, diagrams, and examples of various typographical features. Beautifully produced and hugely informative, this is a must-have for anyone with an interest in book history and the written word.","9780191668753, 0191668753",True,True,937,Reference,en,http://books.google.com/books/content?id=odDYAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,595.59,INR,297.8,INR,https://play.google.com/store/books/details?id=odDYAQAAQBAJ&rdid=book-odDYAQAAQBAJ&rdot=1&source=gbs_api,2013
gaxTEAAAQBAJ,history,"History, Disrupted",How Social Media and the World Wide Web Have Changed the Past,Jason Steinhauer,Springer Nature,"The Internet has changed the past. Social media, Wikipedia, mobile networks, and the viral and visual nature of the Web have inundated the public sphere with historical information and misinformation, changing what we know about our history and History as a discipline. This is the first book to chronicle how and why it matters. Why does History matter at all? What role do history and the past play in our democracy? Our economy? Our understanding of ourselves? How do questions of history intersect with today’s most pressing debates about technology; the role of the media; journalism; tribalism; education; identity politics; the future of government, civilization, and the planet? At the start of a new decade, in the midst of growing political division around the world, this information is critical to an engaged citizenry. As we collectively grapple with the effects of technology and its capacity to destabilize our societies, scholars, educators and the general public should be aware of how the Web and social media shape what we know about ourselves - and crucially, about our past.","9783030851170, 3030851176",True,True,160,History,en,http://books.google.com/books/content?id=gaxTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,2100.4,INR,2100.4,INR,https://play.google.com/store/books/details?id=gaxTEAAAQBAJ&rdid=book-gaxTEAAAQBAJ&rdot=1&source=gbs_api,2021
Y30zEAAAQBAJ,history,International Law and the Politics of History,,Anne Orford,Cambridge University Press,"Explores the ideological, political, and economic stakes of struggles over international law's history and its relation to empire and capitalism.","9781108480949, 1108480942",False,True,395,History,en,http://books.google.com/books/content?id=Y30zEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2021
1EiJAwAAQBAJ,history,Sapiens,A Brief History of Humankind: The multi-million copy bestseller,Yuval Noah Harari,Random House,"'Interesting and provocative... It gives you a sense of how briefly we've been on this Earth' Barack Obama What makes us brilliant? What makes us deadly? What makes us Sapiens? One of the world's preeminent historians and thinkers, Yuval Noah Harari challenges everything we know about being human. Earth is 4.5 billion years old. In just a fraction of that time, one species among countless others has conquered it: us. In this bold and provocative book, Yuval Noah Harari explores who we are, how we got here and where we're going. **ONE OF THE GUARDIAN'S 100 BEST BOOKS OF THE 21st CENTURY** PRAISE FOR SAPIENS: 'Jaw-dropping from the first word to the last... It may be the best book I've ever read' Chris Evans 'Startling... It changes the way you look at the world' Simon Mayo 'I would recommend Sapiens to anyone who's interested in the history and future of our species' Bill Gates Over 2 million copies sold since publication [Nielsen BookScan UK, Circana BookScan US, April 2024]","9781448190690, 144819069X",True,False,354,History,en,http://books.google.com/books/content?id=1EiJAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,12,4.5,IN,FOR_SALE,True,529.82,INR,264.91,INR,https://play.google.com/store/books/details?id=1EiJAwAAQBAJ&rdid=book-1EiJAwAAQBAJ&rdot=1&source=gbs_api,2014
O0oPIo9TXKcC,history,A History of Jaipur,C. 1503-1938,Jadunath Sarkar,Orient Blackswan,"Eminent Historian, Sir Jadunath Sarkar Extensively Traces The History Of The Kachhawa House Of Jaipur, The Development Of The State And Its Interaction With The Mughals And The British. The History Was Written In 1939 40, But Is Being Published Now For The First Time.","8125003339, 9788125003335",False,True,464,,en,http://books.google.com/books/content?id=O0oPIo9TXKcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,IN,NOT_FOR_SALE,False,,,,,,1984
B7_1DwAAQBAJ,history,The Oxford Illustrated History of the Book,,James Raven,,"In 14 original essays, this book reveals the history of books in all their various forms, from the ancient world to the digital present","9780198702986, 0198702981",False,True,468,Art,en,http://books.google.com/books/content?id=B7_1DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2020
z6VZAAAAYAAJ,history,The 100 Most Influential Books Ever Written,The History of Thought from Ancient Times to Today,Martin Seymour-Smith,Citadel Press,"The hundred books discussed here have radically altered the course of civilisation , whether they have embodied religions practised by millions, achieved the pinnacle of artistic expression, pointed the way to scientific discovery of enormous consequence, redirected beliefs about the nature of man, or forever altered the global political landscape. For each there is a historical overview, an analysis of the work's effect on our lives today and a lively discussion of the reasons for inclusion.",PSU:000049137330,False,False,532,Literary Criticism,en,http://books.google.com/books/content?id=z6VZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2001
yJXGJesdiJIC,history,Transcultural History,"Theories, Methods, Sources","Madeleine Herren, Martin Rüesch, Christiane Sibille",Springer Science & Business Media,"For the 21st century, the often-quoted citation ‘past is prologue’ reads the other way around: The global present lacks a historical narrative for the global past. Focussing on a transcultural history, this book questions the territoriality of historical concepts and offers a narrative, which aims to overcome cultural essentialism by focussing on crossing borders of all kinds. Transcultural History reflects critically on the way history is constructed, asking who formed history in the past and who succeeded in shaping what we call the master narrative. Although trained European historians, the authors aim to present a useful approach to global history, showing first of all how a Eurocentric but universal historiography removed or essentialised certain topics in Asian history. As an empirical discipline, history is based on source material, analysed according to rules resulting from a strong methodological background. This book accesses the global past after World War I, looking at the well known stage of the Paris Peace Conferences, observing the multiplication of new borders and the variety of transgressing institutions, concepts, actors, men and women inventing themselves as global subjects, but sharing a bitter experience with almost all local societies at this time, namely the awareness of having relatives buried in far distant places due to globalised wars.","9783642191961, 3642191967",True,True,184,History,en,http://books.google.com/books/content?id=yJXGJesdiJIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,12626,INR,12626,INR,https://play.google.com/store/books/details?id=yJXGJesdiJIC&rdid=book-yJXGJesdiJIC&rdot=1&source=gbs_api,2012
BWsnWlfq4jcC,history,History of Shit,,Dominique Laporte,MIT Press,"""A brilliant account of the politics of shit. It will leave you speechless."" Written in Paris after the heady days of student revolt in May 1968 and before the devastation of the AIDS epidemic, History of Shit is emblematic of a wild and adventurous strain of 1970s' theoretical writing that attempted to marry theory, politics, sexuality, pleasure, experimentation, and humor. Radically redefining dialectical thought and post-Marxist politics, it takes an important—and irreverent—position alongside the works of such postmodern thinkers as Foucault, Deleuze, Guattari, and Lyotard. Laporte's eccentric style and ironic sensibility combine in an inquiry that is provocative, humorous, and intellectually exhilarating. Debunking all humanist mythology about the grandeur of civilization, History of Shit suggests instead that the management of human waste is crucial to our identities as modern individuals—including the organization of the city, the rise of the nation-state, the development of capitalism, and the mandate for clean and proper language. Far from rising above the muck, Laporte argues, we are thoroughly mired in it, particularly when we appear our most clean and hygienic. Laporte's style of writing is itself an attack on our desire for ""clean language."" Littered with lengthy quotations and obscure allusions, and adamantly refusing to follow a linear argument, History of Shit breaks the rules and challenges the conventions of ""proper"" academic discourse.","0262621606, 9780262621601",False,True,180,History,en,http://books.google.com/books/content?id=BWsnWlfq4jcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2002
EHl7juMDKtIC,history,"History, Historians, and Autobiography",,Jeremy D. Popkin,University of Chicago Press,"Though history and autobiography both claim to tell true stories about the past, historians have traditionally rejected first-person accounts as subjective and therefore unreliable. What then, asks Jeremy D. Popkin in History, Historians, and Autobiography, are we to make of the ever-increasing number of professional historians who are publishing stories of their own lives? And how is this recent development changing the nature of history-writing, the historical profession, and the genre of autobiography? Drawing on the theoretical work of contemporary critics of autobiography and the philosophy of Paul Ricoeur, Popkin reads the autobiographical classics of Edward Gibbon and Henry Adams and the memoirs of contemporary historians such as Emmanuel Le Roy Ladurie, Peter Gay, Jill Ker Conway, and many others, he reveals the contributions historians' life stories make to our understanding of the human experience. Historians' autobiographies, he shows, reveal how scholars arrive at their vocations, the difficulties of writing about modern professional life, and the ways in which personal stories can add to our understanding of historical events such as war, political movements, and the traumas of the Holocaust. An engrossing overview of the way historians view themselves and their profession, this work will be of interest to readers concerned with the ways in which we understand the past, as well as anyone interested in the art of life-writing.","9780226675435, 0226675432",False,True,350,Biography & Autobiography,en,http://books.google.com/books/content?id=EHl7juMDKtIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2005
W7A6AAAAMAAJ,history,Mulcaster's Elementarie,,Richard Mulcaster,,,UOM:39015028367525,False,False,340,Education,en,http://books.google.com/books/content?id=W7A6AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,1925
hN6mBAAAQBAJ,history,Bollywood: A History,,Mihir Bose,Roli Books Private Limited,"Hollywood may define our idea of movies, but it is the city of Bombay on the west coast of India that is now the centre of world cinema. Every year, the Indian film industry produces more than 1,000 feature films; every day, 14 million Indians go to a movie in the country; a billion more people a year buy tickets for Indian movies than for Hollywood ones. The rise of Bombay as the film capital of the world has been both remarkable and amazing. Bollywood movies themselves are a self-contained world with their multiple song and dance routines, intense melodrama, and plots that contain everything from farce to tragedy, but always produce a happy ending. The men and women who created these movies are even more remarkable; and it is this fantastic, rich, diverse story, a veritable Indian fairyland, that Mihir Bose, a native of Bombay, tells with vivid brilliance in the first comprehensive history of this major social and cultural phenomenon.","9789351940456, 9351940454",True,False,605,Performing Arts,en,http://books.google.com/books/content?id=hN6mBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,413,INR,289.1,INR,https://play.google.com/store/books/details?id=hN6mBAAAQBAJ&rdid=book-hN6mBAAAQBAJ&rdot=1&source=gbs_api,2008
vl83ptzvEvoC,history,A History of History,,Alun Munslow,Routledge,"In a provocative analysis of European and American historical thinking and practice since the early 18thcentury,A History of History confronts several basic assumptions about the nature of history. Among these are the concept of historical realism, the belief in representationalism and the idea that the past possesses its own narrative. What is offered in this book is a far-reaching and fundamental rethinking of realist and representationalist ‘history of a particular kind’ by addressing and explaining the ideas of major philosophers of history over the past three hundred years and those of the key theorists of today. In pursuing this radical analysis, the understanding of history as a narrative is evaluated along with contemporary notions such as the continuing presence of the past and the idea of ‘its lessons’. Written by one of the leading thinkers on the subject, A History of Historyprovides an accessible and radical history of history while offering new insights into the pressing questions of the nature, purpose and function of history. This book is an essential text for all students, teachers and consumers of history.","9780415677141, 0415677149",False,True,236,History,en,http://books.google.com/books/content?id=vl83ptzvEvoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2012
II2izwEACAAJ,history,The Hindu History,,Majumdar Akshoy K.,Rupa Publ iCat Ions India,"The Hindu History is part of the indispensable canon of works on the chronological growth of Hinduism and the Indian nation. Written in the early twentieth century, it traces the origin and development of the Aryan invasion of India and takes us on an engaging journey through the rise of new dynasties and kingdoms, followed by the advent of foreign rule in India. Religion and philosophy have always been a guiding force in India. They have moulded society and played a crucial role in nation-building. The Hindu History is a well-researched, exhaustive and in-depth analysis of the events that have shaped Hinduism and Hindustan.","812911576X, 9788129115768",False,False,0,History,en,http://books.google.com/books/content?id=II2izwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2008
6PdFDwAAQBAJ,history,What is the History of the Book?,,James Raven,John Wiley & Sons,"James Raven, a leading historian of the book, offers a fresh and accessible guide to the global study of the production, dissemination and reception of written and printed texts across all societies and in all ages. Students, teachers, researchers and general readers will benefit from the book's investigation of the subject's origins, scope and future direction. Based on original research and a wide range of sources, What is the History of the Book? shows how book history crosses disciplinary boundaries and intersects with literary, historical, media, library, conservation and communications studies. Raven uses examples from around the world to explore different traditions in bibliography, palaeography and manuscript studies. He analyses book history's growing global ambition and demonstrates how the study of reading practices opens up new horizons in social history and the history of knowledge. He shows how book history is contributing to debates about intellectual and popular culture, colonialism and the communication of ideas. The first global, accessible introduction to the field of book history from ancient to modern times, What is the History of the Book? is essential reading for all those interested in one of society's most important cultural artefacts.","9781509523214, 1509523219",True,True,196,History,en,http://books.google.com/books/content?id=6PdFDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,2498.06,INR,2498.06,INR,https://play.google.com/store/books/details?id=6PdFDwAAQBAJ&rdid=book-6PdFDwAAQBAJ&rdot=1&source=gbs_api,2018
5PIUAQAAIAAJ,history,Book Review Digest,,,,,STANFORD:36105211408815,False,False,180,,en,http://books.google.com/books/content?id=5PIUAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2008
3dpKEAAAQBAJ,history,Search History,,Eugene Lim,Coffee House Press,"Search History oscillates between a wild cyberdog chase and lunch-date monologues as Eugene Lim deconstructs grieving and storytelling with uncanny juxtapositions and subversive satire. Frank Exit is dead—or is he? While eavesdropping on two women discussing a dog-sitting gig over lunch, a bereft friend comes to a shocking realization: Frank has been reincarnated as a dog! This epiphany launches a series of adventures—interlaced with digressions about AI-generated fiction, virtual reality, Asian American identity in the arts, and lost parents—as an unlikely cast of accomplices and enemies pursues the mysterious canine. In elliptical, propulsive prose, Search History plumbs the depths of personal and collective consciousness, questioning what we consume, how we grieve, and the stories we tell ourselves.","9781566896269, 1566896266",True,True,170,Fiction,en,http://books.google.com/books/content?id=3dpKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,IN,FOR_SALE,True,729.99,INR,365,INR,https://play.google.com/store/books/details?id=3dpKEAAAQBAJ&rdid=book-3dpKEAAAQBAJ&rdot=1&source=gbs_api,2021
